------------------------------,--------------------
www.electricblue.eu, Portugal
------------------------------,--------------------
EnvLogger version,2.4
EnvLogger Viewer version,3.9
downloading device type, android
device, SM-G930F
downloading mode, manual
------------------------------,--------------------
serial number, 0445 8800 1115 09
custom name, A3
temperature, degrees Celsius
time zone, UTC+0000
sampling resolution,0.1
samples,2844
time diff [logger-smartphone](sec),113
lat,48.83467
long,-125.135659
accuracy (m),24
------------------------------,--------------------
time,temp
2021-04-03 6:18,8.9
2021-04-03 6:48,9
2021-04-03 7:18,9
2021-04-03 7:48,9
2021-04-03 8:18,8.8
2021-04-03 8:48,8.8
2021-04-03 9:18,8.8
2021-04-03 9:48,8.8
2021-04-03 10:18,8.8
2021-04-03 10:48,9
2021-04-03 11:18,9
2021-04-03 11:48,9
2021-04-03 12:18,8.9
2021-04-03 12:48,9
2021-04-03 13:18,9
2021-04-03 13:48,9
2021-04-03 14:18,9
2021-04-03 14:48,9
2021-04-03 15:18,9
2021-04-03 15:48,8.9
2021-04-03 16:18,8.9
2021-04-03 16:48,9
2021-04-03 17:18,9
2021-04-03 17:48,8.9
2021-04-03 18:18,8.8
2021-04-03 18:48,8.9
2021-04-03 19:18,8.8
2021-04-03 19:48,8.8
2021-04-03 20:18,8.8
2021-04-03 20:48,8.9
2021-04-03 21:18,8.9
2021-04-03 21:48,8.9
2021-04-03 22:18,8.9
2021-04-03 22:48,9
2021-04-03 23:18,9
2021-04-03 23:48,8.9
2021-04-04 0:18,8.8
2021-04-04 0:48,9.1
2021-04-04 1:18,9.1
2021-04-04 1:48,9.1
2021-04-04 2:18,9
2021-04-04 2:48,9.3
2021-04-04 3:18,9.1
2021-04-04 3:48,9.1
2021-04-04 4:18,9.1
2021-04-04 4:48,9.2
2021-04-04 5:18,9.2
2021-04-04 5:48,9.2
2021-04-04 6:18,9.2
2021-04-04 6:48,9.2
2021-04-04 7:18,9.1
2021-04-04 7:48,9.1
2021-04-04 8:18,9.1
2021-04-04 8:48,9.1
2021-04-04 9:18,9.1
2021-04-04 9:48,9.1
2021-04-04 10:18,9.1
2021-04-04 10:48,9
2021-04-04 11:18,9
2021-04-04 11:48,9
2021-04-04 12:18,9
2021-04-04 12:48,9
2021-04-04 13:18,9
2021-04-04 13:48,9
2021-04-04 14:18,9
2021-04-04 14:48,9
2021-04-04 15:18,9
2021-04-04 15:48,9
2021-04-04 16:18,9
2021-04-04 16:48,8.9
2021-04-04 17:18,9
2021-04-04 17:48,8.9
2021-04-04 18:18,8.9
2021-04-04 18:48,8.9
2021-04-04 19:18,9
2021-04-04 19:48,9
2021-04-04 20:18,9
2021-04-04 20:48,9.1
2021-04-04 21:18,9.1
2021-04-04 21:48,9.1
2021-04-04 22:18,8.9
2021-04-04 22:48,8.9
2021-04-04 23:18,9
2021-04-04 23:48,9
2021-04-05 0:18,8.8
2021-04-05 0:48,8.9
2021-04-05 1:18,9.1
2021-04-05 1:48,9
2021-04-05 2:18,9
2021-04-05 2:48,9.1
2021-04-05 3:18,9.3
2021-04-05 3:48,9.6
2021-04-05 4:18,9.4
2021-04-05 4:48,9.2
2021-04-05 5:18,9.3
2021-04-05 5:48,9.2
2021-04-05 6:18,9.2
2021-04-05 6:48,9.3
2021-04-05 7:18,9.4
2021-04-05 7:48,9.2
2021-04-05 8:18,9.1
2021-04-05 8:48,9.2
2021-04-05 9:18,9.2
2021-04-05 9:48,9.1
2021-04-05 10:18,9.1
2021-04-05 10:48,9
2021-04-05 11:18,9
2021-04-05 11:48,9.1
2021-04-05 12:18,9.2
2021-04-05 12:48,9.1
2021-04-05 13:18,9
2021-04-05 13:48,8.9
2021-04-05 14:18,8.9
2021-04-05 14:48,8.9
2021-04-05 15:18,9
2021-04-05 15:48,9
2021-04-05 16:18,9
2021-04-05 16:48,8.9
2021-04-05 17:18,9
2021-04-05 17:48,9.1
2021-04-05 18:18,9.1
2021-04-05 18:48,9
2021-04-05 19:18,9
2021-04-05 19:48,9
2021-04-05 20:18,9
2021-04-05 20:48,9.1
2021-04-05 21:18,9.1
2021-04-05 21:48,8.9
2021-04-05 22:18,8.9
2021-04-05 22:48,8.8
2021-04-05 23:18,8.7
2021-04-05 23:48,8.7
2021-04-06 0:18,8.8
2021-04-06 0:48,9
2021-04-06 1:18,8.8
2021-04-06 1:48,8.9
2021-04-06 2:18,8.9
2021-04-06 2:48,8.9
2021-04-06 3:18,9
2021-04-06 3:48,8.9
2021-04-06 4:18,9
2021-04-06 4:48,9.2
2021-04-06 5:18,9.5
2021-04-06 5:48,9.3
2021-04-06 6:18,9.3
2021-04-06 6:48,9.2
2021-04-06 7:18,9.3
2021-04-06 7:48,9.2
2021-04-06 8:18,9.4
2021-04-06 8:48,9.4
2021-04-06 9:18,9.3
2021-04-06 9:48,9.3
2021-04-06 10:18,9.3
2021-04-06 10:48,9.3
2021-04-06 11:18,9.3
2021-04-06 11:48,9.2
2021-04-06 12:18,9.2
2021-04-06 12:48,9.2
2021-04-06 13:18,9.1
2021-04-06 13:48,9.1
2021-04-06 14:18,9.1
2021-04-06 14:48,9.1
